generation,mtm,machinetype,model,name,codename,announcement,ga,wdfm,lifecycle,smlink,eos,alldates,mtmname
P9,9008-22L,9008,22L,Power Systems L922,ZZ-L 2S2U,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-l922-9008-22l,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9008-22L - Power Systems L922
P9,9009-22A,9009,22A,Power Systems S922,ZZ 2S2U,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-s922-9009-22a,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9009-22A - Power Systems S922
P9,9009-22G,9009,22G,Power Systems S922 Gen 4,ZZ 2S2U,14/07/2020,24/07/2020,20/10/2023,38,https://www.ibm.com/docs/en/announcements/power-system-s922-9009-22g,,Announced: 14/07/2020; Generally Available: 24/07/2020; Withdrawn: 20/10/2023; End of Support: not yet announced,9009-22G - Power Systems S922 Gen 4
P9,9223-22H,9223,22H,Power Systems H922,ZZ 2S2U SAP HANA,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-h922-sap-hana-9223-22h,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9223-22H - Power Systems H922
P9,9223-22S,9223,22S,Power Systems H922 Gen 4,ZZ 2S2U SAP HANA,06/10/2020,20/11/2020,20/10/2023,35,https://www.ibm.com/docs/en/announcements/power-system-h922-9223-22s-2023-07-11,,Announced: 6/10/2020; Generally Available: 20/11/2020; Withdrawn: 20/10/2023; End of Support: not yet announced,9223-22S - Power Systems H922 Gen 4
P9,9009-41A,9009,41A,Power Systems S914,ZZ 1S4U,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-s914-9009-41a,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9009-41A - Power Systems S914
P9,9009-41G,9009,41G,Power Systems S914 Gen 4,ZZ 1S4U,14/07/2020,24/07/2020,20/10/2023,38,https://www.ibm.com/docs/en/announcements/power-system-s914-9009-41g-2023-07-11,,Announced: 14/07/2020; Generally Available: 24/07/2020; Withdrawn: 20/10/2023; End of Support: not yet announced,9009-41G - Power Systems S914 Gen 4
P9,9009-42A,9009,42A,Power Systems S924,ZZ 2S4U,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-s924-9009-42a,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9009-42A - Power Systems S924
P9,9009-42G,9009,42G,Power Systems S924 Gen 4,ZZ 2S2U,14/07/2020,24/07/2020,20/10/2023,38,https://www.ibm.com/docs/en/announcements/power-system-s924-9009-42g,,Announced: 14/07/2020; Generally Available: 24/07/2020; Withdrawn: 20/10/2023; End of Support: not yet announced,9009-42G - Power Systems S924 Gen 4
P9,9223-42H,9223,42H,Power Systems H924,ZZ 2S4U SAP HANA,13/02/2018,20/03/2018,29/01/2021,34,https://www.ibm.com/docs/en/announcements/power-system-h924-sap-hana-9223-42h,,Announced: 13/02/2018; Generally Available: 20/03/2018; Withdrawn: 29/01/2021; End of Support: not yet announced,9223-42H - Power Systems H924
P9,9223-42S,9223,42S,Power Systems H924 Gen 4,ZZ 2S2U SAP HANA,06/10/2020,20/11/2020,20/10/2023,35,https://www.ibm.com/docs/en/announcements/power-system-h924-9223-42s-2023-07-11,,Announced: 6/10/2020; Generally Available: 20/11/2020; Withdrawn: 20/10/2023; End of Support: not yet announced,9223-42S - Power Systems H924 Gen 4
P9,9040-MR9,9040,MR9,Power Systems E950,Zeppelin,07/08/2018,17/08/2018,20/10/2023,62,https://www.ibm.com/docs/en/announcements/power-system-e950-9040-mr9,,Announced: 7/08/2018; Generally Available: 17/08/2018; Withdrawn: 20/10/2023; End of Support: not yet announced,9040-MR9 - Power Systems E950
P9,9225-50H,9225,50H,Power Systems H950,Zeppelin SAP HANA,01/03/2019,01/03/2019,,53+,,,Announced: 1/03/2019; Generally Available: 1/03/2019; Withdrawn: not yet announced; End of Support: not yet announced,9225-50H - Power Systems H950
P9,9080-M98,9080,M98,p9 2 x 5U Node,Fleetwood,01/10/2019,01/10/2019,,46+,,,Announced: 1/10/2019; Generally Available: 1/10/2019; Withdrawn: not yet announced; End of Support: not yet announced,9080-M98 - p9 2 x 5U Node
P9,9080-M9S,9080,M9S,Power Systems E980,Fleetwood,07/08/2018,21/09/2018,31/10/2022,49,https://www.ibm.com/docs/en/announcements/power-system-e980-9080-m9s,,Announced: 7/08/2018; Generally Available: 21/09/2018; Withdrawn: 31/10/2022; End of Support: not yet announced,9080-M9S - Power Systems E980
P9,9222-80H,9222,80H,Power Systems H980,Fleetwood SAP HANA,01/03/2019,01/03/2019,,53+,,,Announced: 1/03/2019; Generally Available: 1/03/2019; Withdrawn: not yet announced; End of Support: not yet announced,9222-80H - Power Systems H980
P9,8335-GTC,8335,GTC,Power Systems AC922 (Coral Air) (Internal Only),Newell / Witherspoon - Analytics,25/07/2017,22/12/2017,,67+,,,Announced: 25/07/2017; Generally Available: 22/12/2017; Withdrawn: not yet announced; End of Support: not yet announced,8335-GTC - Power Systems AC922 (Coral Air) (Internal Only)
P9,8335-GTW,8335,GTW,Power Systems AC922 (Coral Water) (Internal Only),Newell / Witherspoon - Analytics,25/07/2017,22/12/2017,,67+,,,Announced: 25/07/2017; Generally Available: 22/12/2017; Withdrawn: not yet announced; End of Support: not yet announced,8335-GTW - Power Systems AC922 (Coral Water) (Internal Only)
P9,8335-GTG,8335,GTG,Power Systems AC922 (Air),Newell / Witherspoon - Analytics,05/12/2017,22/12/2017,30/06/2021,42,https://www.ibm.com/docs/en/announcements/power-system-ac922-optimized-linux-workloads,,Announced: 5/12/2017; Generally Available: 22/12/2017; Withdrawn: 30/06/2021; End of Support: not yet announced,8335-GTG - Power Systems AC922 (Air)
P9,8335-GTH,8335,GTH,Power Systems AC922 (Air),Newell / Witherspoon - Analytics,08/05/2018,25/05/2018,09/08/2023,62,https://www.ibm.com/docs/en/announcements/power-system-ac922-8335-gth,,Announced: 8/05/2018; Generally Available: 25/05/2018; Withdrawn: 9/08/2023; End of Support: not yet announced,8335-GTH - Power Systems AC922 (Air)
P9,8335-GTX,8335,GTX,Power Systems AC922 (Water),Newell / Witherspoon - Analytics,08/05/2018,25/05/2018,09/08/2023,62,https://www.ibm.com/docs/en/announcements/power-system-ac922-optimized-linux-workloads-2023-07-11,,Announced: 8/05/2018; Generally Available: 25/05/2018; Withdrawn: 9/08/2023; End of Support: not yet announced,8335-GTX - Power Systems AC922 (Water)
P9,9138-22X,9138,22X,Power Systems IC922,Mihawk,08/05/2018,25/05/2018,31/12/2021,43,https://www.ibm.com/docs/en/announcements/power-system-ic922-9183-22x-2021-12-14,,Announced: 8/05/2018; Generally Available: 25/05/2018; Withdrawn: 31/12/2021; End of Support: not yet announced,9138-22X - Power Systems IC922
P10,9105-22A,9105,22A,IBM Power S1022,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-s1022-9105-22a,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9105-22A - IBM Power S1022
P10,9105-22B,9105,22B,IBM Power S1022s,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-s1022s-9105-22b,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9105-22B - IBM Power S1022s
P10,9786-22H,9786,22H,IBM Power L1022,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-l1022-9786-22h,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9786-22H - IBM Power L1022
P10,9105-41B,9105,41B,IBM Power S1014,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-s1014-9105-41b,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9105-41B - IBM Power S1014
P10,9105-42A,9105,42A,IBM Power S1024,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-s1024-9105-42a,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9105-42A - IBM Power S1024
P10,9786-42H,9786,42H,IBM Power L1024,Rainier,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-l1024-9786-42h,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9786-42H - IBM Power L1024
P10,9043-MRX,9043,MRX,IBM Power E1050,,12/07/2022,22/07/2022,,12+,https://www.ibm.com/docs/en/announcements/power-e1050-enterprise-midrange-technology-based-server,,Announced: 12/07/2022; Generally Available: 22/07/2022; Withdrawn: not yet announced; End of Support: not yet announced,9043-MRX - IBM Power E1050
P10,9080-HEX,9080,HEX,IBM Power E1080,Denali,08/09/2021,17/09/2021,,22+,https://www.ibm.com/docs/en/announcements/power-e1080-enterprise-server,,Announced: 8/09/2021; Generally Available: 17/09/2021; Withdrawn: not yet announced; End of Support: not yet announced,9080-HEX - IBM Power E1080
